Прізвище;Ім'я;По-батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Бандурка;Маруся;Валентинаівна;Жіноча;1974-01-17;Астрофізик;село Тисмениця;шосе Леонова, буд. 50, Переяслав, 67265;077 493-62-17;hlibvashchuk@example.org
Атаманчук;Степан;Олександрович;Чоловіча;1987-06-21;Нотаріус;місто Шаргород;провулок Чубаївська, буд. 1, Золочів, 94087;+380 73 452 58 06;vernydubdavyd@example.com
Пелех;Святослава;Василинаівна;Жіноча;1983-09-23;Живописець;село Іллінці;узвіз Паркова, буд. 10, Сулимівка (Слов'янськ), 43330;+380 24 189-93-74;roksolana63@example.org
Шинкаренко;Станіслав;Вадимович;Чоловіча;1994-07-06;Промисловець;селище Чорнобиль;площа Виноградний тупик, буд. 6 кв. 5, Харцизьк, 31856;+380 10 846-55-27;mishchak@example.com
Джус;Марина;Амаліяівна;Жіноча;1978-10-09;Агроном;хутір Стрий;площа Поїзна, буд. 7 кв. 5, Горлівка, 35200;+380 46 044-95-24;leon65@example.org
Дубас;Варвара;Єваівна;Жіноча;1960-12-08;Історик;місто Івано-Франківськ;набережна Роздольна, буд. 77, Лиман , 46230;+380 84 947-03-09;kandreiko@example.net
Артимович;Ярина;Яринаівна;Жіноча;1952-01-08;Ботанік;хутір Бердичів;парк Політкаторжан, буд. 79 кв. 79, Зимогір'я, 92628;+380 (69) 735-22-49;leonieroshenko@example.net
Заїка;Альберт;Святославович;Чоловіча;1953-02-01;Етнограф;місто Обухів;парк Морський 2-й, буд. 55, Бердянськ, 15532;+380 (70) 854-01-19;iaroslavchaika@example.net
Верменич;Євген;Григорійович;Чоловіча;1958-12-28;Громадський діяч;місто Токмак;проспект Балтський 7-й, буд. 6, Червоносів, 55890;+380 (48) 799-04-27;kanivetsomelian@example.net
Таран;Роман;Леонтійович;Чоловіча;1941-05-03;Хімік;хутір Бібрка;набережна Проїзний 3-й, буд. 6 кв. 90, Виноградів, 29171;+380 00 611-93-60;ieremenkoteodor@example.net
Бабариченко;Альбіна;Василинаівна;Жіноча;1983-09-22;Публіцист;селище Довжанськ;сквер Аптекарський, буд. 058, Теребовля, 33398;+380 97 476-08-81;panteleimonrebryk@example.net
Гайда;Лукʼян;Богуславович;Чоловіча;1946-06-24;Льотчик;село Хуст;вулиця Першотравневий 3-й, буд. 182, Великі Мости, 95451;+380 77 983-04-21;artiushenkovalentyna@example.com
Архимович;Людмила;Соломіяівна;Жіноча;2000-12-19;Кіноактор;селище Жидачів;вулиця Палія Семена, буд. 9, Жмеринка, 68432;620-55-34;banderaiaroslava@example.org
Проценко;Веніямин;Андрійович;Чоловіча;1982-11-25;Співак;село Свалява;набережна Квітковий, буд. 04, Павлоград, 20771;168-36-09;mariia81@example.com
Якимчук;Надія;Яринаівна;Жіноча;1990-01-05;Юрист;хутір Стрий;шосе Колонтаївська, буд. 462 кв. 24, Мостиська, 19070;+380 39 001-88-91;hennadiibevzenko@example.org
Засенко;Богуслава;Христинаівна;Жіноча;1947-02-21;Хореограф;селище Алмазна;парк Дачний, буд. 83, Красногорівка, 61521;024 694 95 52;xvanchenko@example.org
Базилевич;Марина;Альбінаівна;Жіноча;1978-07-21;Дантист;місто Заводське;проспект Локальна, буд. 400, Ворожба, 52793;+380 53 482-93-17;epryimak@example.org
Романчук;Демид;Венедиктович;Чоловіча;1966-05-09;Кіноактор;хутір Снігурівка;вулиця Басейний 6-й, буд. 1, Таврійськ, 57822;+380 68 500 67 18;viktoriia93@example.org
Гаврилюк;Омелян;Левкоович;Чоловіча;1959-12-21;Астрофізик;місто Зміїв;набережна Степана Разіна, буд. 158 кв. 9, Гуляйполе, 88808;851-96-36;shynkarenkovenedykt@example.org
Ващук;Зорян;Омелянович;Чоловіча;1954-04-30;Ботанік;селище Кам'янка (Черкаська область);площа Лінія 43-тя, буд. 9, Зміїв, 93393;037 755 16 13;avrelii44@example.com
Василашко;Ганна;Ольгаівна;Жіноча;1986-06-24;Історик;хутір Радомишль;площа Гвардійська, буд. 46, Марганець , 63243;663-59-89;filipenkomykhailo@example.org
Вергун;Тетяна;Святославаівна;Жіноча;1959-04-14;Патологоанатом;місто Алупка;провулок Наявний 5-й, буд. 53 кв. 831, Гірське, 78986;+380 83 617-52-79;pylyp42@example.net
Устенко;Вʼячеслав;Яківович;Чоловіча;1947-03-27;Математик;село Синельникове;шосе Восьмого березня 1-й, буд. 5 кв. 1, Мерефа, 83372;+380 51 619 85 46;uchekaliuk@example.org
Терещук;Венедикт;Маркоович;Чоловіча;1954-02-22;Дипломат;селище Рава-Руська;парк Хаджибейський 1-й, буд. 3 кв. 73, Нова Каховка, 39222;+380 (20) 738-50-13;karmaliukvasyl@example.net
Бандурка;Альбіна;Оленаівна;Жіноча;1953-11-10;Фармацевт;селище Долина ;сквер Смоленська, буд. 1 кв. 626, Торецьк, 03253;087 886-54-19;larysa44@example.org
Баштан;Павло;Миколайович;Чоловіча;1992-09-25;Дантист;село Нетішин;парк Купріна, буд. 379 кв. 407, Ромни, 27211;919 39 61;ovysochan@example.net
Овсієнко;Соломон;Федірович;Чоловіча;1990-05-23;Фрілансер;селище Мерефа;проспект Лінія 40-ва, буд. 8, Красноперекопськ, 07405;858-98-32;frants60@example.net
Ткаченко;Данило;Аркадійович;Чоловіча;1960-09-13;Маркетолог;місто Обухів;вулиця 14-та ст. Великого Фонтану пляж, буд. 861 кв. 25, Прилуки, 02279;715-10-00;panteleimonnestaiko@example.net
